Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	834.0	837.0	0	12000.0	Eurasian Blackbird	eurbla	0.5776	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240618_160000.wav	54.0
2	Spectrogram 1	1	1540.0	1543.0	0	12000.0	Common Wood-Pigeon	cowpig1	0.6277	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240618_170000.wav	40.0
3	Spectrogram 1	1	1736.0	1739.0	0	12000.0	Common Wood-Pigeon	cowpig1	0.5713	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240618_171500.wav	56.0
4	Spectrogram 1	1	1737.0	1740.0	0	12000.0	Common Wood-Pigeon	cowpig1	0.8048	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240618_171500.wav	57.0
5	Spectrogram 1	1	1865.0	1868.0	0	12000.0	Common Wood-Pigeon	cowpig1	0.6977	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240618_173000.wav	5.0
6	Spectrogram 1	1	1916.0	1919.0	0	12000.0	Common Wood-Pigeon	cowpig1	0.5997	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240618_173000.wav	56.0
7	Spectrogram 1	1	1917.0	1920.0	0	12000.0	Eurasian Collared-Dove	eucdov	0.5849	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240618_173000.wav	57.0
8	Spectrogram 1	1	1917.0	1920.0	0	12000.0	Common Wood-Pigeon	cowpig1	0.5577	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240618_173000.wav	57.0
9	Spectrogram 1	1	2376.0	2379.0	0	12000.0	Mallard	mallar3	0.5205	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240618_181000.wav	36.0
10	Spectrogram 1	1	3073.0	3076.0	0	12000.0	Eurasian Blue Tit	blutit	0.5135	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240618_191000.wav	13.0
11	Spectrogram 1	1	3174.0	3177.0	0	12000.0	Great Tit	gretit1	0.5748	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240618_191500.wav	54.0
12	Spectrogram 1	1	3526.0	3529.0	0	12000.0	Gray Wagtail	grywag	0.6333	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240618_194500.wav	46.0
13	Spectrogram 1	1	3528.0	3531.0	0	12000.0	Gray Wagtail	grywag	0.5004	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240618_194500.wav	48.0
14	Spectrogram 1	1	3588.0	3591.0	0	12000.0	Common Wood-Pigeon	cowpig1	0.6127	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240618_195000.wav	48.0
15	Spectrogram 1	1	3595.0	3598.0	0	12000.0	Common Wood-Pigeon	cowpig1	0.5109	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240618_195000.wav	55.0
16	Spectrogram 1	1	3799.0	3802.0	0	12000.0	European Greenfinch	eurgre1	0.5177	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240618_201000.wav	19.0
17	Spectrogram 1	1	3831.0	3834.0	0	12000.0	Eurasian Curlew	eurcur	0.6097	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240618_201000.wav	51.0
18	Spectrogram 1	1	3994.0	3997.0	0	12000.0	Eurasian Blackbird	eurbla	0.6374	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240618_202500.wav	34.0
19	Spectrogram 1	1	3995.0	3998.0	0	12000.0	Tree Pipit	trepip	0.5281	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240618_202500.wav	35.0
20	Spectrogram 1	1	3999.0	4002.0	0	12000.0	Eurasian Blackbird	eurbla	0.5354	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240618_202500.wav	39.0
21	Spectrogram 1	1	7330.0	7333.0	0	12000.0	Carrion Crow	carcro1	0.5604	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_011502.wav	46.0
22	Spectrogram 1	1	7444.0	7447.0	0	12000.0	Eurasian Collared-Dove	eucdov	0.5185	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_012502.wav	46.0
23	Spectrogram 1	1	7911.0	7914.0	0	12000.0	Mallard	mallar3	0.5932	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_021002.wav	0
24	Spectrogram 1	1	9270.0	9273.0	0	12000.0	Carrion Crow	carcro1	0.5004	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_040502.wav	48.0
25	Spectrogram 1	1	9275.0	9278.0	0	12000.0	Carrion Crow	carcro1	0.5904	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_040502.wav	53.0
26	Spectrogram 1	1	9276.0	9279.0	0	12000.0	Carrion Crow	carcro1	0.6117	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_040502.wav	54.0
27	Spectrogram 1	1	9277.0	9280.0	0	12000.0	Carrion Crow	carcro1	0.5219	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_040502.wav	55.0
28	Spectrogram 1	1	9290.0	9293.0	0	12000.0	Eurasian Blackbird	eurbla	0.5349	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_041002.wav	11.0
29	Spectrogram 1	1	9291.0	9294.0	0	12000.0	Eurasian Blackbird	eurbla	0.5924	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_041002.wav	12.0
30	Spectrogram 1	1	9308.0	9311.0	0	12000.0	Eurasian Wren	winwre4	0.8852	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_041002.wav	29.0
31	Spectrogram 1	1	9309.0	9312.0	0	12000.0	Eurasian Wren	winwre4	0.8972	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_041002.wav	30.0
32	Spectrogram 1	1	9310.0	9313.0	0	12000.0	Eurasian Wren	winwre4	0.8893	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_041002.wav	31.0
33	Spectrogram 1	1	9311.0	9314.0	0	12000.0	Eurasian Wren	winwre4	0.8642	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_041002.wav	32.0
34	Spectrogram 1	1	9312.0	9315.0	0	12000.0	Eurasian Wren	winwre4	0.8681	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_041002.wav	33.0
35	Spectrogram 1	1	9313.0	9316.0	0	12000.0	Eurasian Wren	winwre4	0.8472	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_041002.wav	34.0
36	Spectrogram 1	1	9327.0	9330.0	0	12000.0	Eurasian Wren	winwre4	0.6072	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_041002.wav	48.0
37	Spectrogram 1	1	9328.0	9331.0	0	12000.0	Eurasian Wren	winwre4	0.9181	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_041002.wav	49.0
38	Spectrogram 1	1	9329.0	9332.0	0	12000.0	Eurasian Wren	winwre4	0.9493	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_041002.wav	50.0
39	Spectrogram 1	1	9330.0	9333.0	0	12000.0	Eurasian Wren	winwre4	0.9275	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_041002.wav	51.0
40	Spectrogram 1	1	9331.0	9334.0	0	12000.0	Eurasian Wren	winwre4	0.8621	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_041002.wav	52.0
41	Spectrogram 1	1	9343.0	9346.0	0	12000.0	Eurasian Wren	winwre4	0.7584	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_041502.wav	7.0
42	Spectrogram 1	1	9344.0	9347.0	0	12000.0	Eurasian Wren	winwre4	0.7036	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_041502.wav	8.0
43	Spectrogram 1	1	9345.0	9348.0	0	12000.0	Eurasian Wren	winwre4	0.7671	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_041502.wav	9.0
44	Spectrogram 1	1	9365.0	9368.0	0	12000.0	Eurasian Wren	winwre4	0.8196	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_041502.wav	29.0
45	Spectrogram 1	1	9366.0	9369.0	0	12000.0	Eurasian Wren	winwre4	0.8279	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_041502.wav	30.0
46	Spectrogram 1	1	9367.0	9370.0	0	12000.0	Eurasian Wren	winwre4	0.9357	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_041502.wav	31.0
47	Spectrogram 1	1	9368.0	9371.0	0	12000.0	Eurasian Wren	winwre4	0.8912	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_041502.wav	32.0
48	Spectrogram 1	1	9369.0	9372.0	0	12000.0	Eurasian Wren	winwre4	0.8998	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_041502.wav	33.0
49	Spectrogram 1	1	9370.0	9373.0	0	12000.0	Eurasian Wren	winwre4	0.8761	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_041502.wav	34.0
50	Spectrogram 1	1	9371.0	9374.0	0	12000.0	Eurasian Wren	winwre4	0.8670	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_041502.wav	35.0
51	Spectrogram 1	1	9389.0	9392.0	0	12000.0	Eurasian Blackbird	eurbla	0.5653	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_041502.wav	53.0
52	Spectrogram 1	1	9450.0	9453.0	0	12000.0	Eurasian Wren	winwre4	0.8866	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	0
53	Spectrogram 1	1	9457.0	9460.0	0	12000.0	Eurasian Wren	winwre4	0.8661	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	7.0
54	Spectrogram 1	1	9458.0	9461.0	0	12000.0	Eurasian Wren	winwre4	0.8694	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	8.0
55	Spectrogram 1	1	9459.0	9462.0	0	12000.0	Eurasian Wren	winwre4	0.7398	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	9.0
56	Spectrogram 1	1	9460.0	9463.0	0	12000.0	Eurasian Wren	winwre4	0.6988	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	10.0
57	Spectrogram 1	1	9461.0	9464.0	0	12000.0	Eurasian Wren	winwre4	0.7264	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	11.0
58	Spectrogram 1	1	9462.0	9465.0	0	12000.0	Eurasian Wren	winwre4	0.8360	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	12.0
59	Spectrogram 1	1	9463.0	9466.0	0	12000.0	Eurasian Wren	winwre4	0.6696	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	13.0
60	Spectrogram 1	1	9464.0	9467.0	0	12000.0	Eurasian Wren	winwre4	0.8348	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	14.0
61	Spectrogram 1	1	9465.0	9468.0	0	12000.0	Eurasian Wren	winwre4	0.7890	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	15.0
62	Spectrogram 1	1	9466.0	9469.0	0	12000.0	Eurasian Wren	winwre4	0.9061	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	16.0
63	Spectrogram 1	1	9471.0	9474.0	0	12000.0	Eurasian Wren	winwre4	0.8961	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	21.0
64	Spectrogram 1	1	9472.0	9475.0	0	12000.0	Eurasian Wren	winwre4	0.9111	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	22.0
65	Spectrogram 1	1	9473.0	9476.0	0	12000.0	Eurasian Wren	winwre4	0.8484	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	23.0
66	Spectrogram 1	1	9474.0	9477.0	0	12000.0	Eurasian Wren	winwre4	0.8452	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	24.0
67	Spectrogram 1	1	9475.0	9478.0	0	12000.0	Eurasian Wren	winwre4	0.8717	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	25.0
68	Spectrogram 1	1	9486.0	9489.0	0	12000.0	Eurasian Wren	winwre4	0.8261	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	36.0
69	Spectrogram 1	1	9487.0	9490.0	0	12000.0	Eurasian Wren	winwre4	0.8932	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	37.0
70	Spectrogram 1	1	9488.0	9491.0	0	12000.0	Eurasian Wren	winwre4	0.9183	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	38.0
71	Spectrogram 1	1	9489.0	9492.0	0	12000.0	Eurasian Wren	winwre4	0.9498	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	39.0
72	Spectrogram 1	1	9490.0	9493.0	0	12000.0	Eurasian Wren	winwre4	0.9291	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	40.0
73	Spectrogram 1	1	9491.0	9494.0	0	12000.0	Eurasian Wren	winwre4	0.5319	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	41.0
74	Spectrogram 1	1	9496.0	9499.0	0	12000.0	Eurasian Wren	winwre4	0.8187	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	46.0
75	Spectrogram 1	1	9497.0	9500.0	0	12000.0	Eurasian Wren	winwre4	0.8860	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	47.0
76	Spectrogram 1	1	9498.0	9501.0	0	12000.0	Eurasian Wren	winwre4	0.8653	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	48.0
77	Spectrogram 1	1	9499.0	9502.0	0	12000.0	Eurasian Wren	winwre4	0.8988	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	49.0
78	Spectrogram 1	1	9500.0	9503.0	0	12000.0	Eurasian Wren	winwre4	0.9138	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	50.0
79	Spectrogram 1	1	9501.0	9504.0	0	12000.0	Eurasian Wren	winwre4	0.9443	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	51.0
80	Spectrogram 1	1	9502.0	9505.0	0	12000.0	Eurasian Wren	winwre4	0.8554	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	52.0
81	Spectrogram 1	1	9503.0	9506.0	0	12000.0	Eurasian Wren	winwre4	0.7606	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_042502.wav	53.0
82	Spectrogram 1	1	9507.0	9510.0	0	12000.0	Eurasian Wren	winwre4	0.7433	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	0
83	Spectrogram 1	1	9508.0	9511.0	0	12000.0	Eurasian Wren	winwre4	0.8360	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	1.0
84	Spectrogram 1	1	9509.0	9512.0	0	12000.0	Eurasian Wren	winwre4	0.8122	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	2.0
85	Spectrogram 1	1	9510.0	9513.0	0	12000.0	Eurasian Wren	winwre4	0.8727	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	3.0
86	Spectrogram 1	1	9511.0	9514.0	0	12000.0	Eurasian Wren	winwre4	0.8164	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	4.0
87	Spectrogram 1	1	9511.0	9514.0	0	12000.0	Eurasian Blue Tit	blutit	0.5026	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	4.0
88	Spectrogram 1	1	9512.0	9515.0	0	12000.0	Eurasian Wren	winwre4	0.8577	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	5.0
89	Spectrogram 1	1	9513.0	9516.0	0	12000.0	Eurasian Wren	winwre4	0.7057	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	6.0
90	Spectrogram 1	1	9521.0	9524.0	0	12000.0	Eurasian Wren	winwre4	0.8833	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	14.0
91	Spectrogram 1	1	9522.0	9525.0	0	12000.0	Eurasian Wren	winwre4	0.9056	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	15.0
92	Spectrogram 1	1	9523.0	9526.0	0	12000.0	Eurasian Wren	winwre4	0.8792	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	16.0
93	Spectrogram 1	1	9524.0	9527.0	0	12000.0	Eurasian Wren	winwre4	0.8753	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	17.0
94	Spectrogram 1	1	9525.0	9528.0	0	12000.0	Eurasian Wren	winwre4	0.7794	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	18.0
95	Spectrogram 1	1	9537.0	9540.0	0	12000.0	Eurasian Wren	winwre4	0.8314	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	30.0
96	Spectrogram 1	1	9538.0	9541.0	0	12000.0	Eurasian Wren	winwre4	0.9055	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	31.0
97	Spectrogram 1	1	9539.0	9542.0	0	12000.0	Eurasian Wren	winwre4	0.8006	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	32.0
98	Spectrogram 1	1	9540.0	9543.0	0	12000.0	Eurasian Wren	winwre4	0.8006	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	33.0
99	Spectrogram 1	1	9541.0	9544.0	0	12000.0	Eurasian Wren	winwre4	0.7283	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	34.0
100	Spectrogram 1	1	9542.0	9545.0	0	12000.0	Eurasian Wren	winwre4	0.7066	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	35.0
101	Spectrogram 1	1	9543.0	9546.0	0	12000.0	Eurasian Wren	winwre4	0.5236	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	36.0
102	Spectrogram 1	1	9547.0	9550.0	0	12000.0	Eurasian Wren	winwre4	0.7494	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	40.0
103	Spectrogram 1	1	9548.0	9551.0	0	12000.0	Eurasian Wren	winwre4	0.8041	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	41.0
104	Spectrogram 1	1	9549.0	9552.0	0	12000.0	Eurasian Wren	winwre4	0.8877	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	42.0
105	Spectrogram 1	1	9550.0	9553.0	0	12000.0	Eurasian Wren	winwre4	0.8351	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	43.0
106	Spectrogram 1	1	9551.0	9554.0	0	12000.0	Eurasian Wren	winwre4	0.6653	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	44.0
107	Spectrogram 1	1	9552.0	9555.0	0	12000.0	Eurasian Wren	winwre4	0.7830	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	45.0
108	Spectrogram 1	1	9553.0	9556.0	0	12000.0	Eurasian Wren	winwre4	0.8511	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	46.0
109	Spectrogram 1	1	9559.0	9562.0	0	12000.0	Eurasian Wren	winwre4	0.7645	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	52.0
110	Spectrogram 1	1	9560.0	9563.0	0	12000.0	Eurasian Wren	winwre4	0.8924	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	53.0
111	Spectrogram 1	1	9561.0	9564.0	0	12000.0	Eurasian Wren	winwre4	0.8173	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	54.0
112	Spectrogram 1	1	9562.0	9565.0	0	12000.0	Eurasian Wren	winwre4	0.8441	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_043002.wav	55.0
113	Spectrogram 1	1	9621.0	9624.0	0	12000.0	Eurasian Wren	winwre4	0.8815	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_044002.wav	0
114	Spectrogram 1	1	9622.0	9625.0	0	12000.0	Eurasian Wren	winwre4	0.8443	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_044002.wav	1.0
115	Spectrogram 1	1	9623.0	9626.0	0	12000.0	Eurasian Wren	winwre4	0.7354	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_044002.wav	2.0
116	Spectrogram 1	1	9624.0	9627.0	0	12000.0	Eurasian Wren	winwre4	0.7699	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_044002.wav	3.0
117	Spectrogram 1	1	9625.0	9628.0	0	12000.0	Eurasian Wren	winwre4	0.7606	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_044002.wav	4.0
118	Spectrogram 1	1	9630.0	9633.0	0	12000.0	Eurasian Wren	winwre4	0.7646	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_044002.wav	9.0
119	Spectrogram 1	1	9631.0	9634.0	0	12000.0	Eurasian Wren	winwre4	0.7974	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_044002.wav	10.0
120	Spectrogram 1	1	9632.0	9635.0	0	12000.0	Eurasian Wren	winwre4	0.8409	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_044002.wav	11.0
121	Spectrogram 1	1	9633.0	9636.0	0	12000.0	Eurasian Wren	winwre4	0.8332	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_044002.wav	12.0
122	Spectrogram 1	1	9634.0	9637.0	0	12000.0	Eurasian Wren	winwre4	0.8288	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_044002.wav	13.0
123	Spectrogram 1	1	9635.0	9638.0	0	12000.0	Eurasian Wren	winwre4	0.7375	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_044002.wav	14.0
124	Spectrogram 1	1	9636.0	9639.0	0	12000.0	Eurasian Wren	winwre4	0.6682	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_044002.wav	15.0
125	Spectrogram 1	1	9642.0	9645.0	0	12000.0	Eurasian Wren	winwre4	0.7372	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_044002.wav	21.0
126	Spectrogram 1	1	9643.0	9646.0	0	12000.0	Eurasian Wren	winwre4	0.8633	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_044002.wav	22.0
127	Spectrogram 1	1	9644.0	9647.0	0	12000.0	Eurasian Wren	winwre4	0.8518	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_044002.wav	23.0
128	Spectrogram 1	1	9645.0	9648.0	0	12000.0	Eurasian Wren	winwre4	0.8451	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_044002.wav	24.0
129	Spectrogram 1	1	9646.0	9649.0	0	12000.0	Eurasian Wren	winwre4	0.7241	C:\Users\dm820\OneDrive - Imperial College London\Desktop\RomanWall\Data2\ROMAN_20240619_044002.wav	25.0
